-2.0000000000e+00 -2.0000000000e+00 2.2962114575e+00
-2.0000000000e+00 -1.9322033898e+00 2.3382893653e+00
-2.0000000000e+00 -1.8644067797e+00 2.3811981596e+00
-2.0000000000e+00 -1.7966101695e+00 2.4249006931e+00
-2.0000000000e+00 -1.7288135593e+00 2.4693497366e+00
-2.0000000000e+00 -1.6610169492e+00 2.5144867309e+00
-2.0000000000e+00 -1.5932203390e+00 2.5602404742e+00
-2.0000000000e+00 -1.5254237288e+00 2.6065257671e+00
-2.0000000000e+00 -1.4576271186e+00 2.6532420415e+00
-2.0000000000e+00 -1.3898305085e+00 2.7002720126e+00
-2.0000000000e+00 -1.3220338983e+00 2.7474804013e+00
-2.0000000000e+00 -1.2542372881e+00 2.7947127881e+00
-2.0000000000e+00 -1.1864406780e+00 2.8417946706e+00
-2.0000000000e+00 -1.1186440678e+00 2.8885308097e+00
-2.0000000000e+00 -1.0508474576e+00 2.9347049615e+00
-2.0000000000e+00 -9.8305084746e-01 2.9800800990e+00
-2.0000000000e+00 -9.1525423729e-01 3.0243992318e+00
-2.0000000000e+00 -8.4745762712e-01 3.0673869324e+00
-2.0000000000e+00 -7.7966101695e-01 3.1087516636e+00
-2.0000000000e+00 -7.1186440678e-01 3.1481889817e+00
-2.0000000000e+00 -6.4406779661e-01 3.1853856588e+00
-2.0000000000e+00 -5.7627118644e-01 3.2200247200e+00
-2.0000000000e+00 -5.0847457627e-01 3.2517913327e+00
-2.0000000000e+00 -4.4067796610e-01 3.2803794252e+00
-2.0000000000e+00 -3.7288135593e-01 3.3054988324e+00
-2.0000000000e+00 -3.0508474576e-01 3.3268827067e+00
-2.0000000000e+00 -2.3728813559e-01 3.3442948677e+00
-2.0000000000e+00 -1.6949152542e-01 3.3575367287e+00
-2.0000000000e+00 -1.0169491525e-01 3.3664534224e+00
-2.0000000000e+00 -3.3898305085e-02 3.3709387671e+00
-2.0000000000e+00 3.3898305085e-02 3.3709387671e+00
-2.0000000000e+00 1.0169491525e-01 3.3664534224e+00
-2.0000000000e+00 1.6949152542e-01 3.3575367287e+00
-2.0000000000e+00 2.3728813559e-01 3.3442948677e+00
-2.0000000000e+00 3.0508474576e-01 3.3268827067e+00
-2.0000000000e+00 3.7288135593e-01 3.3054988324e+00
-2.0000000000e+00 4.4067796610e-01 3.2803794252e+00
-2.0000000000e+00 5.0847457627e-01 3.2517913327e+00
-2.0000000000e+00 5.7627118644e-01 3.2200247200e+00
-2.0000000000e+00 6.4406779661e-01 3.1853856588e+00
-2.0000000000e+00 7.1186440678e-01 3.1481889817e+00
-2.0000000000e+00 7.7966101695e-01 3.1087516636e+00
-2.0000000000e+00 8.4745762712e-01 3.0673869324e+00
-2.0000000000e+00 9.1525423729e-01 3.0243992318e+00
-2.0000000000e+00 9.8305084746e-01 2.9800800990e+00
-2.0000000000e+00 1.0508474576e+00 2.9347049615e+00
-2.0000000000e+00 1.1186440678e+00 2.8885308097e+00
-2.0000000000e+00 1.1864406780e+00 2.8417946706e+00
-2.0000000000e+00 1.2542372881e+00 2.7947127881e+00
-2.0000000000e+00 1.3220338983e+00 2.7474804013e+00
