# x  V_Rectangulos  V_Trapecio  V_Simpson
-2.0000000000e+00 3.3715007096e+00 3.3715007096e+00 3.3715007096e+00
-1.9798994975e+00 3.4113342108e+00 3.4113342108e+00 3.4113342108e+00
-1.9597989950e+00 3.4522052405e+00 3.4522052405e+00 3.4522052405e+00
-1.9396984925e+00 3.4941584744e+00 3.4941584744e+00 3.4941584744e+00
-1.9195979899e+00 3.5372413965e+00 3.5372413965e+00 3.5372413965e+00
-1.8994974874e+00 3.5815045382e+00 3.5815045382e+00 3.5815045382e+00
-1.8793969849e+00 3.6270017443e+00 3.6270017443e+00 3.6270017443e+00
-1.8592964824e+00 3.6737904673e+00 3.6737904673e+00 3.6737904673e+00
-1.8391959799e+00 3.7219320963e+00 3.7219320963e+00 3.7219320963e+00
-1.8190954774e+00 3.7714923250e+00 3.7714923250e+00 3.7714923250e+00
-1.7989949749e+00 3.8225415629e+00 3.8225415629e+00 3.8225415629e+00
-1.7788944724e+00 3.8751553984e+00 3.8751553984e+00 3.8751553984e+00
-1.7587939698e+00 3.9294151196e+00 3.9294151196e+00 3.9294151196e+00
-1.7386934673e+00 3.9854083041e+00 3.9854083041e+00 3.9854083041e+00
-1.7185929648e+00 4.0432294867e+00 4.0432294867e+00 4.0432294867e+00
-1.6984924623e+00 4.1029809205e+00 4.1029809205e+00 4.1029809205e+00
-1.6783919598e+00 4.1647734442e+00 4.1647734442e+00 4.1647734442e+00
-1.6582914573e+00 4.2287274781e+00 4.2287274781e+00 4.2287274781e+00
-1.6381909548e+00 4.2949741695e+00 4.2949741695e+00 4.2949741695e+00
-1.6180904523e+00 4.3636567165e+00 4.3636567165e+00 4.3636567165e+00
-1.5979899497e+00 4.4349319057e+00 4.4349319057e+00 4.4349319057e+00
-1.5778894472e+00 4.5089719056e+00 4.5089719056e+00 4.5089719056e+00
-1.5577889447e+00 4.5859663706e+00 4.5859663706e+00 4.5859663706e+00
-1.5376884422e+00 4.6661249214e+00 4.6661249214e+00 4.6661249214e+00
-1.5175879397e+00 4.7496800876e+00 4.7496800876e+00 4.7496800876e+00
-1.4974874372e+00 4.8368908208e+00 4.8368908208e+00 4.8368908208e+00
-1.4773869347e+00 4.9280467162e+00 4.9280467162e+00 4.9280467162e+00
-1.4572864322e+00 5.0234731245e+00 5.0234731245e+00 5.0234731245e+00
-1.4371859296e+00 5.1235373908e+00 5.1235373908e+00 5.1235373908e+00
-1.4170854271e+00 5.2286565344e+00 5.2286565344e+00 5.2286565344e+00
-1.3969849246e+00 5.3393067929e+00 5.3393067929e+00 5.3393067929e+00
-1.3768844221e+00 5.4560356038e+00 5.4560356038e+00 5.4560356038e+00
-1.3567839196e+00 5.5794768200e+00 5.5794768200e+00 5.5794768200e+00
-1.3366834171e+00 5.7103702719e+00 5.7103702719e+00 5.7103702719e+00
-1.3165829146e+00 5.8495872688e+00 5.8495872688e+00 5.8495872688e+00
-1.2964824121e+00 5.9981643602e+00 5.9981643602e+00 5.9981643602e+00
-1.2763819095e+00 6.1573488124e+00 6.1573488124e+00 6.1573488124e+00
-1.2562814070e+00 6.3286610762e+00 6.3286610762e+00 6.3286610762e+00
-1.2361809045e+00 6.5139825310e+00 6.5139825310e+00 6.5139825310e+00
-1.2160804020e+00 6.7156819394e+00 6.7156819394e+00 6.7156819394e+00
-1.1959798995e+00 6.9368032229e+00 6.9368032229e+00 6.9368032229e+00
-1.1758793970e+00 7.1813542980e+00 7.1813542980e+00 7.1813542980e+00
-1.1557788945e+00 7.4547705350e+00 7.4547705350e+00 7.4547705350e+00
-1.1356783920e+00 7.7646977819e+00 7.7646977819e+00 7.7646977819e+00
-1.1155778894e+00 8.1224035294e+00 8.1224035294e+00 8.1224035294e+00
-1.0954773869e+00 8.5455413004e+00 8.5455413004e+00 8.5455413004e+00
-1.0753768844e+00 9.0642107323e+00 9.0642107323e+00 9.0642107323e+00
-1.0552763819e+00 9.7365751621e+00 9.7365751621e+00 9.7365751621e+00
-1.0351758794e+00 1.0700997988e+01 1.0700997988e+01 1.0700997988e+01
-1.0150753769e+00 1.2469444026e+01 1.2469444026e+01 1.2469443891e+01
-9.9497487437e-01 1.4777545305e+01 1.4777677037e+01 1.4772943150e+01
-9.7487437186e-01 1.1648048913e+01 1.1648048913e+01 1.1648048913e+01
-9.5477386935e-01 1.0544861649e+01 1.0544861649e+01 1.0544861649e+01
-9.3467336683e-01 9.8738422458e+00 9.8738422458e+00 9.8738422458e+00
-9.1457286432e-01 9.3966070762e+00 9.3966070762e+00 9.3966070762e+00
-8.9447236181e-01 9.0295558389e+00 9.0295558389e+00 9.0295558389e+00
-8.7437185930e-01 8.7335378585e+00 8.7335378585e+00 8.7335378585e+00
-8.5427135678e-01 8.4870728873e+00 8.4870728873e+00 8.4870728873e+00
-8.3417085427e-01 8.2771127803e+00 8.2771127803e+00 8.2771127803e+00
-8.1407035176e-01 8.0951443229e+00 8.0951443229e+00 8.0951443229e+00
-7.9396984925e-01 7.9353101562e+00 7.9353101562e+00 7.9353101562e+00
-7.7386934673e-01 7.7934112032e+00 7.7934112032e+00 7.7934112032e+00
-7.5376884422e-01 7.6663369424e+00 7.6663369424e+00 7.6663369424e+00
-7.3366834171e-01 7.5517207728e+00 7.5517207728e+00 7.5517207728e+00
-7.1356783920e-01 7.4477216097e+00 7.4477216097e+00 7.4477216097e+00
-6.9346733668e-01 7.3528800474e+00 7.3528800474e+00 7.3528800474e+00
-6.7336683417e-01 7.2660205138e+00 7.2660205138e+00 7.2660205138e+00
