-3.0000000000e+00 4.8257799880e+00
-2.9698492462e+00 4.8933811255e+00
-2.9396984925e+00 4.9633124267e+00
-2.9095477387e+00 5.0357194852e+00
-2.8793969849e+00 5.1107619971e+00
-2.8492462312e+00 5.1886156740e+00
-2.8190954774e+00 5.2694744950e+00
-2.7889447236e+00 5.3535533754e+00
-2.7587939698e+00 5.4410913455e+00
-2.7286432161e+00 5.5323553651e+00
-2.6984924623e+00 5.6276449319e+00
-2.6683417085e+00 5.7272976929e+00
-2.6381909548e+00 5.8316963335e+00
-2.6080402010e+00 5.9412771134e+00
-2.5778894472e+00 6.0565405476e+00
-2.5477386935e+00 6.1780649184e+00
-2.5175879397e+00 6.3065235721e+00
-2.4874371859e+00 6.4427073596e+00
-2.4572864322e+00 6.5875541773e+00
-2.4271356784e+00 6.7421885050e+00
-2.3969849246e+00 6.9079753125e+00
-2.3668341709e+00 7.0865951259e+00
-2.3366834171e+00 7.2801511149e+00
-2.3065326633e+00 7.4913262006e+00
-2.2763819095e+00 7.7236212410e+00
-2.2462311558e+00 7.9817305242e+00
-2.2160804020e+00 8.2721624039e+00
-2.1859296482e+00 8.6043270084e+00
-2.1557788945e+00 8.9925901790e+00
-2.1256281407e+00 9.4605541307e+00
-2.0954773869e+00 1.0051295851e+01
-2.0653266332e+00 1.0857549345e+01
-2.0351758794e+00 1.2150818786e+01
-2.0050251256e+00 1.6046144626e+01
-1.9748743719e+00 1.2981961198e+01
-1.9447236181e+00 1.1467087367e+01
-1.9145728643e+00 1.0650650769e+01
-1.8844221106e+00 1.0095592878e+01
-1.8542713568e+00 9.6781871190e+00
-1.8241206030e+00 9.3457604782e+00
-1.7939698492e+00 9.0709764396e+00
-1.7638190955e+00 8.8378274158e+00
-1.7336683417e+00 8.6361374874e+00
-1.7035175879e+00 8.4590395204e+00
-1.6733668342e+00 8.3016833224e+00
-1.6432160804e+00 8.1605179773e+00
-1.6130653266e+00 8.0328671136e+00
-1.5829145729e+00 7.9166644755e+00
-1.5527638191e+00 7.8102823094e+00
-1.5226130653e+00 7.7124160550e+00
-1.4924623116e+00 7.6220045487e+00
-1.4623115578e+00 7.5381733866e+00
-1.4321608040e+00 7.4601938293e+00
-1.4020100503e+00 7.3874524024e+00
-1.3718592965e+00 7.3194280203e+00
-1.3417085427e+00 7.2556745070e+00
-1.3115577889e+00 7.1958070575e+00
-1.2814070352e+00 7.1394916205e+00
-1.2512562814e+00 7.0864364791e+00
-1.2211055276e+00 7.0363855054e+00
-1.1909547739e+00 6.9891127063e+00
-1.1608040201e+00 6.9444177758e+00
-1.1306532663e+00 6.9021224381e+00
-1.1005025126e+00 6.8620674201e+00
-1.0703517588e+00 6.8241099285e+00
-1.0402010050e+00 6.7881215324e+00
-1.0100502513e+00 6.7539863777e+00
-9.7989949749e-01 6.7215996724e+00
-9.4974874372e-01 6.6908663952e+00
-9.1959798995e-01 6.6617001891e+00
-8.8944723618e-01 6.6340224102e+00
-8.5929648241e-01 6.6077613051e+00
-8.2914572864e-01 6.5828512986e+00
-7.9899497487e-01 6.5592323729e+00
-7.6884422111e-01 6.5368495260e+00
-7.3869346734e-01 6.5156522971e+00
-7.0854271357e-01 6.4955943502e+00
-6.7839195980e-01 6.4766331064e+00
-6.4824120603e-01 6.4587294203e+00
-6.1809045226e-01 6.4418472932e+00
-5.8793969849e-01 6.4259536189e+00
-5.5778894472e-01 6.4110179577e+00
-5.2763819095e-01 6.3970123365e+00
-4.9748743719e-01 6.3839110692e+00
-4.6733668342e-01 6.3716905984e+00
-4.3718592965e-01 6.3603293530e+00
-4.0703517588e-01 6.3498076222e+00
-3.7688442211e-01 6.3401074425e+00
-3.4673366834e-01 6.3312124979e+00
-3.1658291457e-01 6.3231080305e+00
-2.8643216080e-01 6.3157807619e+00
-2.5628140704e-01 6.3092188235e+00
-2.2613065327e-01 6.3034116954e+00
-1.9597989950e-01 6.2983501528e+00
-1.6582914573e-01 6.2940262202e+00
-1.3567839196e-01 6.2904331317e+00
-1.0552763819e-01 6.2875652982e+00
-7.5376884422e-02 6.2854182801e+00
-4.5226130653e-02 6.2839887661e+00
-1.5075376884e-02 6.2832745576e+00
1.5075376884e-02 6.2832745576e+00
4.5226130653e-02 6.2839887661e+00
7.5376884422e-02 6.2854182801e+00
1.0552763819e-01 6.2875652982e+00
1.3567839196e-01 6.2904331317e+00
1.6582914573e-01 6.2940262202e+00
1.9597989950e-01 6.2983501528e+00
2.2613065327e-01 6.3034116954e+00
2.5628140704e-01 6.3092188235e+00
2.8643216080e-01 6.3157807619e+00
3.1658291457e-01 6.3231080305e+00
3.4673366834e-01 6.3312124979e+00
3.7688442211e-01 6.3401074425e+00
4.0703517588e-01 6.3498076222e+00
4.3718592965e-01 6.3603293530e+00
4.6733668342e-01 6.3716905984e+00
4.9748743719e-01 6.3839110692e+00
5.2763819095e-01 6.3970123365e+00
5.5778894472e-01 6.4110179577e+00
5.8793969849e-01 6.4259536189e+00
6.1809045226e-01 6.4418472932e+00
6.4824120603e-01 6.4587294203e+00
6.7839195980e-01 6.4766331064e+00
7.0854271357e-01 6.4955943502e+00
7.3869346734e-01 6.5156522971e+00
7.6884422111e-01 6.5368495260e+00
7.9899497487e-01 6.5592323729e+00
8.2914572864e-01 6.5828512986e+00
8.5929648241e-01 6.6077613051e+00
8.8944723618e-01 6.6340224102e+00
9.1959798995e-01 6.6617001891e+00
9.4974874372e-01 6.6908663952e+00
9.7989949749e-01 6.7215996724e+00
1.0100502513e+00 6.7539863777e+00
1.0402010050e+00 6.7881215324e+00
1.0703517588e+00 6.8241099285e+00
1.1005025126e+00 6.8620674201e+00
1.1306532663e+00 6.9021224381e+00
1.1608040201e+00 6.9444177758e+00
1.1909547739e+00 6.9891127063e+00
1.2211055276e+00 7.0363855054e+00
1.2512562814e+00 7.0864364791e+00
1.2814070352e+00 7.1394916205e+00
1.3115577889e+00 7.1958070575e+00
1.3417085427e+00 7.2556745070e+00
1.3718592965e+00 7.3194280203e+00
1.4020100503e+00 7.3874524024e+00
1.4321608040e+00 7.4601938293e+00
1.4623115578e+00 7.5381733866e+00
1.4924623116e+00 7.6220045487e+00
1.5226130653e+00 7.7124160550e+00
1.5527638191e+00 7.8102823094e+00
1.5829145729e+00 7.9166644755e+00
1.6130653266e+00 8.0328671136e+00
1.6432160804e+00 8.1605179773e+00
1.6733668342e+00 8.3016833224e+00
