-1.7894736842e+00 -1.7894736842e+00 -1.0606601718e-01 -1.0606601718e-01
-1.7894736842e+00 -1.5789473684e+00 -1.1262308430e-01 -9.9075934929e-02
-1.7894736842e+00 -1.3684210526e+00 -1.1947404255e-01 -9.0697040512e-02
-1.7894736842e+00 -1.1578947368e+00 -1.2642430660e-01 -8.0727285967e-02
-1.7894736842e+00 -9.4736842105e-01 -1.3316817196e-01 -6.9037945921e-02
-1.7894736842e+00 -7.3684210526e-01 -1.3929510444e-01 -5.5649563162e-02
-1.7894736842e+00 -5.2631578947e-01 -1.4434770089e-01 -4.0788984409e-02
-1.7894736842e+00 -3.1578947368e-01 -1.4792466931e-01 -2.4865482310e-02
-1.7894736842e+00 -1.0526315789e-01 -1.4976746620e-01 -8.3490160710e-03
-1.7894736842e+00 1.0526315789e-01 -1.4976746620e-01 8.3490160710e-03
-1.7894736842e+00 3.1578947368e-01 -1.4792466931e-01 2.4865482310e-02
-1.7894736842e+00 5.2631578947e-01 -1.4434770089e-01 4.0788984409e-02
-1.7894736842e+00 7.3684210526e-01 -1.3929510444e-01 5.5649563162e-02
-1.7894736842e+00 9.4736842105e-01 -1.3316817196e-01 6.9037945921e-02
-1.7894736842e+00 1.1578947368e+00 -1.2642430660e-01 8.0727285967e-02
-1.7894736842e+00 1.3684210526e+00 -1.1947404255e-01 9.0697040512e-02
-1.7894736842e+00 1.5789473684e+00 -1.1262308430e-01 9.9075934929e-02
-1.7894736842e+00 1.7894736842e+00 -1.0606601718e-01 1.0606601718e-01

-1.5789473684e+00 -1.7894736842e+00 -9.9075934929e-02 -1.1262308430e-01
-1.5789473684e+00 -1.5789473684e+00 -1.0606601718e-01 -1.0606601718e-01
-1.5789473684e+00 -1.3684210526e+00 -1.1358893125e-01 -9.7967110284e-02
-1.5789473684e+00 -1.1578947368e+00 -1.2148023088e-01 -8.7991780901e-02
-1.5789473684e+00 -9.4736842105e-01 -1.2940714277e-01 -7.5853750075e-02
